avoid_flag,prevent_flag,treat_flag,Group,Causes of deaths,Rationale for inclusion,Range,cid_pai
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Gastric and duodenal ulcer,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K25-K28),K27
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Gastric and duodenal ulcer,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K25-K28),K28
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Appendicitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K35-K38),K35
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Appendicitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K35-K38),K36
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Appendicitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K35-K38),K37
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Appendicitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K35-K38),K38
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Abdominal hernia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K40-K46),K40
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Abdominal hernia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K40-K46),K41
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Abdominal hernia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K40-K46),K42
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Abdominal hernia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K40-K46),K43
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Abdominal hernia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K40-K46),K44
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Abdominal hernia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K40-K46),K45
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Abdominal hernia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K40-K46),K46
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Cholelithiasis and cholecystitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K80-K81),K80
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Cholelithiasis and cholecystitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K80-K81),K81
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Other diseases of gallbladder or biliary tract,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K82-K83),K82
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Other diseases of gallbladder or biliary tract,Case-fatality rates can be reduced through early detection and appropriate treatment.,(K82-K83),K83
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Acute pancreatitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K85.0,1,3,8,9)",K850
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Acute pancreatitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K85.0,1,3,8,9)",K851
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Acute pancreatitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K85.0,1,3,8,9)",K853
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Acute pancreatitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K85.0,1,3,8,9)",K858
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Acute pancreatitis,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K85.0,1,3,8,9)",K859
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Other diseases of pancreas,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K86.1,2,3,8,9)",K861
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Other diseases of pancreas,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K86.1,2,3,8,9)",K862
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Other diseases of pancreas,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K86.1,2,3,8,9)",K863
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Other diseases of pancreas,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K86.1,2,3,8,9)",K868
Avoidable mortality,,Treatable mortality,Diseases of the digestive system,Other diseases of pancreas,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(K86.1,2,3,8,9)",K869
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N00
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N01
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N02
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N03
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N04
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N05
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N06
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Nephritis and nephrosis,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N00-N07),N07
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Obstructive uropathy,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N13,N20-N21, N35)",N13
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Obstructive uropathy,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N13,N20-N21, N35)",N20
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Obstructive uropathy,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N13,N20-N21, N35)",N21
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Obstructive uropathy,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N13,N20-N21, N35)",N35
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Renal failure,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N17-N19),N17
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Renal failure,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N17-N19),N18
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Renal failure,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N17-N19),N19
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Renal colic,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N23),N23
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Disorders resulting from renal tubular dysfunction,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N25),N25
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,"Unspecified contracted kidney, small kidney of unknown cause",Case-fatality rates can be reduced through early detection and appropriate treatment.,(N26-N27),N26
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,"Unspecified contracted kidney, small kidney of unknown cause",Case-fatality rates can be reduced through early detection and appropriate treatment.,(N26-N27),N27
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N341
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N70
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N71
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N72
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N73
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N750
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N751
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N764
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Inflammatory diseases of genitourinary system,Case-fatality rates can be reduced through early detection and appropriate treatment.,"(N34.1,N70-N73,N75.0,N75.1,N76.4,6)",N766
Avoidable mortality,,Treatable mortality,Diseases of the genitourinary system,Prostatic hyperplasia,Case-fatality rates can be reduced through early detection and appropriate treatment.,(N40),N40
Avoidable mortality,Preventable mortality,,"Pregnancy, childbirth and perinatal period",Tetanus neonatorum,Most of these infections can be prevented through vaccination.,(A33),A33
Avoidable mortality,Preventable mortality,,"Pregnancy, childbirth and perinatal period",Obstetrical tetanus,Most of these infections can be prevented through vaccination.,(A34),A34
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period","Pregnancy, childbirth and the puerperium",Effective treatment is available in most cases to avoid maternal mortality.,(O00-O99),O0
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P0
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P1
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P2
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P3
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P4
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P5
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P6
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P7
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P8
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P90
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P91
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P92
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P93
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P94
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P95
Avoidable mortality,,Treatable mortality,"Pregnancy, childbirth and perinatal period",Certain conditions originating in the perinatal period,Case-fatality rates can be reduced through early detection and appropriate treatment.,(P00-P96),P96
Avoidable mortality,Preventable mortality,,Congenital malformations,Certain congenital malformations (neural tube defects),"These conditions can be prevented through prevention measures (improve maternal nutrition, e.g. folic acid consumption).","(Q00, Q01, Q05)",Q00
Avoidable mortality,Preventable mortality,,Congenital malformations,Certain congenital malformations (neural tube defects),"These conditions can be prevented through prevention measures (improve maternal nutrition, e.g. folic acid consumption).","(Q00, Q01, Q05)",Q01
Avoidable mortality,Preventable mortality,,Congenital malformations,Certain congenital malformations (neural tube defects),"These conditions can be prevented through prevention measures (improve maternal nutrition, e.g. folic acid consumption).","(Q00, Q01, Q05)",Q05
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q20
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q21
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q22
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q23
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q24
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q25
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q26
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q27
Avoidable mortality,,Treatable mortality,Congenital malformations,Congenital malformations of the circulatory system (heart defects),These conditions can be treated through surgical operations,(Q20-Q28),Q28
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use",These conditions are treatable through better drug prescription and adherence.,(Y40-Y59),Y4
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use",These conditions are treatable through better drug prescription and adherence.,(Y40-Y59),Y5
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,Misadventures to patients during surgical and medical care,These conditions are treatable through better quality of care that patients receive.,"(Y60-Y69,Y83-Y84)",Y6
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,Misadventures to patients during surgical and medical care,These conditions are treatable through better quality of care that patients receive.,"(Y60-Y69,Y83-Y84)",Y83
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,Misadventures to patients during surgical and medical care,These conditions are treatable through better quality of care that patients receive.,"(Y60-Y69,Y83-Y84)",Y84
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,Medical devices associated with adverse incidents in diagnostic and therapeutic use,These conditions are treatable through better quality of care that patients receive.,(Y70-Y82),Y7
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,Medical devices associated with adverse incidents in diagnostic and therapeutic use,These conditions are treatable through better quality of care that patients receive.,(Y70-Y82),Y80
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,Medical devices associated with adverse incidents in diagnostic and therapeutic use,These conditions are treatable through better quality of care that patients receive.,(Y70-Y82),Y81
Avoidable mortality,,Treatable mortality,Adverse effects of medical and surgical care,Medical devices associated with adverse incidents in diagnostic and therapeutic use,These conditions are treatable through better quality of care that patients receive.,(Y70-Y82),Y82
Avoidable mortality,Preventable mortality,,Injuries,Transport Accidents,Deaths can be prevented through public health interventions (e.g. road safety measures).,(V0I-V99),V
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",W
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X0
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X1
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X2
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X3
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X46
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X47
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X48
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X49
Avoidable mortality,Preventable mortality,,Injuries,Accidental Injuries,Deaths can be prevented through public health interventions (e.g. injury prevention campaigns).,"(W00-X39, X46-X59)",X5
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X66
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X67
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X68
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X69
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X7
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X80
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X81
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X82
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X83
Avoidable mortality,Preventable mortality,,Injuries,Intentional self-harm,Deaths can be prevented through public health interventions (e.g. suicide prevention campaigns).,(X66-X84),X84
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y16
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y17
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y18
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y19
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y2
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y30
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y31
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y32
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y33
Avoidable mortality,Preventable mortality,,Injuries,Event of undetermined intent,Deaths can be prevented through public health interventions (e.g. harm prevention campaigns).,(Y16-Y34),Y34
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),X86
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),X87
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),X88
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),X89
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),X9
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y00
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y01
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y02
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y03
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y04
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y05
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y06
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y07
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y08
Avoidable mortality,Preventable mortality,,Injuries,Assault,Deaths can be prevented through public health interventions.,(X86-Y09),Y09
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",E244
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",F10
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",G312
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",G621
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",G721
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",I426
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",K292
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",K70
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",K852
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",K860
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",Q860
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",R780
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",X45
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",X65
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Alcohol-specific disorders and poisonings,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70, K85.2, K86.0, Q86.0, R78.0, X45, X65, Y15)",Y15
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Other alcohol-related disorders,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(K73, K74.0-K74.2, K74.6)",K73
Avoidable mortality,Preventable mortality,,Alcohol-related deaths,Other alcohol-related disorders,Deaths can be largely prevented through public health interventions (e.g. alcohol control policies).,"(K73, K74.0-K74.2, K74.6)",K740
